股票代码 股票名称 当前价 涨跌额 涨跌幅 年初至今 成交量 成交额 换手率 市盈率(ＴＴＭ) 股息率 市值
PDVW pdvWireless 36.06 1.39 4.01 -3.56 56890 2035808 0.39 -12.992 - 529924778
ZKIN 正康国际 2.08 0.08 4 46.48 430842 877239 2.6 4.907 - 34440717
LONE 美国龙星资源 4.42 0.17 4 21.1 256678 1132720 1.04 9.495 - 109499502
TRIL 延龄草治疗 0.6694 0.0256 3.98 -60.85 1126645 738975 5.3 -0.446 - 14217273
LOMA "Loma Negra" 11.24 0.43 3.98 0.99 355707 3958663 0.3 39.757 - 1339808000
ESTA "Establishment Labs" 22.01 0.84 3.97 -19.73 198942 4331582 0.98 -21.27 - 448764157
FORD 福沃德工业 1.58 0.06 3.95 21.54 3463 5306 0.04 18.779 - 15063485
BTAI "Bioxcel Therapeutics" 10.56 0.4 3.94 173.58 28832 300372 0.18 -8.583 - 165403614
GIGM 和信超媒体 2.65 0.1 3.92 -14.67 12708 32253 0.11 26.969 - 29288423
SGH "SMART Global" 21.83 0.82 3.9 -26.5 366312 7754886 1.6 4.747 - 500501889
MSL "Midsouth Bancorp" 12 0.45 3.9 13.21 19268 229713 0.12 -6.522 0.34632 200570052
IPIC "Ipic Entertainment" 4.26 0.16 3.9 28.72 3043 12269 0.03 -2.106 - 48853203
REED Reeds饮料 3.34 0.125 3.89 61.35 276757 905272 0.83 -10.83 - 111877632
CORV Correvio药业 2.94 0.11 3.89 17.27 96106 268517 0.25 -6.952 - 115259592
CVNA "Carvana Co." 66 2.45 3.86 101.77 1119416 72781070 0.77 -142.642 - 9605483382
CTRL Control4 17.74 0.66 3.86 0.8 519683 9079314 1.96 10.732 - 470473351
BFR Bbva法国银行 9.16 0.34 3.85 -19.15 714399 6482457 0.35 8.092 5.20981 1870654092
PCG-I "Pacific Gas & Electric Co. 4.36% 1st Preferred Stock" 17.95 0.664 3.84 30.91 5062 89744 0.51 0 5.80405 17950000
GRTS "Gritstone Oncology" 14.86 0.55 3.84 -3.82 62007 911069 0.21 -6.697 - 433820150
THO "Thor Industries" 69.91 2.58 3.83 34.44 1151028 79699481 2.09 16.698 2.31695 3849487397
INSP "Inspire Medical系统" 57.81 2.13 3.83 36.83 211612 12064847 0.9 -62.073 - 1354935113
SPKE "Spark Energy" 9.52 0.35 3.82 30.49 85865 798817 0.25 -35.788 7.90622 332646621
DY 戴康工业 49.01 1.8 3.81 -9.31 612301 29964174 1.95 24.495 - 1540924586
MTEX 寰泰生技 17.16 0.63 3.81 -12.07 264 1819 0.01 -10.579 3.0248 41110504
AXL 美国车桥 16.1 0.59 3.8 45.05 1197446 19181887 1.07 -31.285 - 1798889563
OPTN OptiNose 10.13 0.37 3.79 63.39 188294 1881500 0.46 -3.919 - 418008595
BAC 美国银行 30.17 1.1 3.78 23.07 99282850 2979279763 1.03 10.893 2.06398 290807020310
MESO Mesoblast 5.52 0.2 3.76 33.08 37374 203682 0.04 -15.561 - 549148390
HMHC 霍顿米夫林夏 8 0.29 3.76 -9.71 631163 4989975 0.51 -10.507 - 989327400
MARA "Marathon Patent" 3.31 0.12 3.76 813.86 1426994 4993306 22.37 -1.648 0 21117750
BID 苏富比 42.68 1.54 3.74 7.4 611639 25861320 1.32 18.211 - 1978280953
DXLG 目标XL集团 2.23 0.08 3.72 2.76 38744 85431 0.08 -8.162 - 110434580
UG 守护者联盟 19.4483 0.6983 3.72 5.23 3145 59899 0.07 20.53 5.86667 89351694
CBL-E "CBL & Associates Properties, Inc. Depositary Shs Repstg 1/10 6.625% Ser E Cum Redeemable (Pfd Stk)" 9.76 0.35 3.72 2.44 42403 409486 0.61 0 17.54502 67344000
LWAY 来福威食品 2.209 0.079 3.71 13.3 6165 12451 0.04 -17.294 - 34985468
CBL-D "CBL & Associates Properties, Inc. Dep Shares Repstg 1/10th Preferred Series D" 10.38 0.37 3.7 -1.7 62095 637405 0.34 0 18.25495 188397000
ZFGN Zafgen 2.8 0.1 3.7 -43.43 336228 936268 0.9 -1.703 - 104482330
FTCH Farfetch 25.76 0.92 3.7 45.45 5638342 144132937 1.88 -49.65 - 7724316320
RTNB "root9B Holdings" 0.07508 0.00268 3.7 -5.56 20269 1118 0.33  - 329415
DEST Destination 2.52 0.09 3.7 -8.81 32524 80121 0.23 -2.013 - 36407760
FRTA Forterra 4.54 0.16 3.65 20.74 206918 930037 0.32 -11.964 - 291493442
INAP Internap网络服务 4.83 0.17 3.65 16.39 322112 1548017 1.27 -1.963 - 122668119
CHKP "Check Point 软件" 130.4 4.59 3.65 27.03 1798377 232499175 1.15 24.77 - 20370263090
INSW 因斯威普 19.89 0.7 3.65 18.11 309717 6145095 1.06 -6.53 - 580769582
CIFS 圣盈信 3.42 0.12 3.64 271.74 303900 1013207 1.37 3.338 - 75630523
SELF 全球自存储 3.99 0.1399 3.63 1.79 17358 68043 0.23 49.55 6.75307 30693570
CNFR 康年控股 4.7972 0.1672 3.61 35.71 17374 82624 0.2 -4.408 - 40671631
VNTR "Venator Materials" 6.6 0.23 3.61 57.52 307599 2036921 0.29 -4.313 - 703040606
DIT "AMCON Distributing" 92.79 3.22 3.59 -9.75 102 9465 0.02 16.947 0.80142 57278803
ELGX 恩多勒吉克斯 6.35 0.22 3.59 -11.31 110361 692074 1.07 -0.824 0 65709248
STM 意法半导体 18.17 0.63 3.59 30.91 3583557 64769209 0.4 12.682 1.16306 16322203304
TIGR 老虎证券 17.61 0.61 3.59 120.13 1790545 31195828 1.35 -54.119 - 2338375830
VET 朱砂能源公司 26.35 0.91 3.58 26.83 346945 9067755 0.23 19.769 8.13668 4028774186
AXAS Abraxas石油 1.45 0.05 3.57 33.03 1146004 1663435 0.69 4.186 - 242055547
AUBN 奥本银行 39.01 1.34 3.56 24.14 5785 216701 0.16 15.868 2.65463 140180992
CYTR 赛特科科技 0.654831 0.022431 3.55 41.56 72842 46399 0.22 -1.733 - 22026878
LE Lands'End 17.22 0.59 3.55 21.18 158298 2692386 0.49 47.915 - 555336252
CUBI 客户合众银行 21.91 0.75 3.54 20.38 223286 4852451 0.72 11.898 - 680975354
SRAX "Social Reality" 5.705 0.195 3.54 179.66 445407 2424514 4.41 5.058 - 57674869
VNOM "Viper Energy" 34 1.16 3.53 32.5 874849 28646590 0.71 29.303 6.21194 4218463504
HBM "Hudbay Minerals(正股)" 7.65 0.26 3.52 62.27 1106503 8537777 0.42 23.4 0.20259 1998731955
FBK FB金融 35.08 1.19 3.51 0.41 52048 1812728 0.17 13.553 0.94423 1081615431
CBAN 科勒尼 17.75 0.6 3.5 22.16 8432 149550 0.1 12.578 1.74927 149897117
THM 国际塔山 0.48 0.0161 3.47 -11.43 91678 44280 0.05 -21.425 - 89813691
MGI 速汇金国际 2.4 0.08 3.45 20 466947 1115578 0.83 -5.607 - 134563834
PZG 派拉蒙黄金内华达 0.8999 0.0299 3.44 8.42 16078 14165 0.06 -4.22 - 23865307
ARCI 美国电器回收中心 0.5999 0.0199 3.43 34.95 624554 389659 7.37 -0.906 - 5082743
VTVT "vTv Therapeutics" 1.51 0.05 3.42 -43.02 330767 493793 0.72 -8.759 - 69289275
BWA 博格华纳 44.23 1.46 3.41 27.84 1802600 79307190 0.87 9.866 1.5899 9182567389
FMAO "Farmers & Merchants" 29.99 0.99 3.41 -22.08 11095 323187 0.1 22.508 2.06897 333100819
JBN "Select Asset Inc. Select Asset Inc. on behalf of Corporate Backed Callable Trust Certificates, J.C. Penney Debenture Backed Seri" 7 0.23 3.4 10.24 3769 26259 0.17 -0.115 25.84934 15400000
ANF "Abercrombie & Fitch" 26.46 0.87 3.4 33 2842674 74813494 4.27 23.643 3.12622 1762406297
